Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
sage-green-silk-scarf-gold-plate-amethyst-studs-afghanistan,Sage Green Silk Scarf + Gold plate Amethyst Studs - Afghanistan,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisans: Saleh Fine Silks and Shugufa Yousofzai</strong></p>
<p>The perfect gift set for the holidays - our bestselling silk scarves and studs from Afghanistan are available for a limited time for a special price.</p>
<p>Scarf:</p>
<p><em>• 100% silk - dry clean only.</em> <br><em>• Dimensions: 190cm x 65cm.</em></p>
<p>Studs:</p>
<p><em>• Dimensions: approximately .5"" (1.3cm) d.</em></p>",Saleh Fine Silks,Scarves,"accessories, Afghanistan, Earrings, Saleh Fine Silks, scarves, Shugufa Yousofzai, silk, Studs",TRUE,Title,Default Title,,,,,"a3320706af, j2100506af",800,shopify,2,deny,manual,155,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/Sage_Green_Silk_Scarf_Gold_Plate_Amethyst_Studs.jpeg?v=1419279423,,FALSE,,,,,,,,,,,,,,,,,kg
sage-green-silk-scarf-gold-plate-amethyst-studs-afghanistan,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/Women_with_Sage_Green_Silk_Scarf.jpeg?v=1419279423,,,,,,,,,,,,,,,,,,,
sage-green-silk-scarf-gold-plate-amethyst-studs-afghanistan,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/Gold_Plate_Amethyst_Studs.jpeg?v=1419279423,,,,,,,,,,,,,,,,,,,
sage-green-silk-scarf-gold-plate-amethyst-studs-afghanistan,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/Sage_Green_Silk_Scarf.jpeg?v=1419279423,,,,,,,,,,,,,,,,,,,
rose-and-purple-kantha-scarf-india,Rose and Purple Kantha Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk</strong><br><br>Made from vintage silk saris, this patterned scarf in lively hues of purple and rose is quilted with a simple running stitch – a technique called “kantha.” Each kantha scarf is one-of-a-kind boasting unique patterns and a mix of both bright and earthy complementary colours. <br><br>Kantha is still the most popular form of embroidery practiced by rural women in the West Bengal State of India. The stitching work can be done in the privacy of the home allowing even women from conservative families to participate.<br><br><em>• 100% silk – dry clean only.</em><br><em>• Dimensions: 200cm x 45cm.</em></p>
<div><em> </em></div>",House of Wandering Silk,Scarves,"accessories, House of Wandering Silk, India, scarves, silk",TRUE,Title,Default Title,,,,,a3314912in,400,shopify,0,deny,manual,89,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/rosepurple_copy.jpeg?v=1419279444,,FALSE,,,,,,,,,,,,,,,,,kg
rose-and-purple-kantha-scarf-india,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/13039FAW_PRO_BAN_ScarfGroup1_446square_2f71ccb1-b973-454b-881b-a477d5c3ddfe.jpeg?v=1419279444,,,,,,,,,,,,,,,,,,,
indian-scarf-raspberry-and-sky-blue-kantha,Raspberry and Sky Blue Kantha Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk</strong><br><br>Made from vintage silk saris, this patterned scarf in shades of pink and blue is quilted with a simple running stitch – a technique called “kantha.” Each kantha scarf is one-of-a-kind boasting unique patterns and a mix of both bright and earthy complementary colours. <br><br>Kantha is still the most popular form of embroidery practiced by rural women in the West Bengal State of India. The stitching work can be done in the privacy of the home allowing even women from conservative families to participate.<br><br><em>• 100% silk – dry clean only.</em><br><em>• Dimensions: 200cm x 45cm.</em></p>
<div><em> </em></div>",House of Wandering Silk,Scarves,"accessories, embroidery, ethical, House of Wandering Silk, India, kantha, recycled, scarves, silk, sustainable",TRUE,Title,Default Title,,,,,a3314602in,400,shopify,0,deny,manual,89,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/raspberry_sky_blue_kantha_scarf.jpeg?v=1419279537,Indian raspberry sky blue kantha scarf,FALSE,,"Discover our unique Indian kantha scarves from our partner House of Wandering Silk. Made from vintage silk saris, each scarf is hand-stitched and one-of-a-kind.",,,,,,,,,,,,,,,kg
indian-scarf-raspberry-and-sky-blue-kantha,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/indian_kantha_scarves_grande_49972d84-2002-4bac-b5dd-0fb3336a5247.jpeg?v=1419279537,Indian kantha scarves,,,,,,,,,,,,,,,,,,
poppy-red-silk-scarf-afghanistan,Poppy Red Silk Scarf - Afghanistan,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: Saleh Fine Silks</strong></p>
<p>This handwoven, pure silk scarf in poppy red is exquisitely soft to touch and very lightweight. It is perfect for travelling and can dress up an outfit for any occasion.</p>
<p>Saleh tries to buy silk from Afghanistan but silk production was severely affected during the civil war and under Taliban rule when the mulberry orchards, home to the silk worms, were cut down or destroyed. Today silk weavers like Saleh are forced to buy in some silk from Pakistan and China at inflated prices. Although there are still as many as 36 silk workshops in Herat, home to the traditional Afghan silk industry, there are only three workshops left in Kabul today. </p>
<p><em>• 100% silk - dry clean only.</em> <br><em>• Dimensions: 190cm x 65cm.</em></p>",Saleh Fine Silks,Scarves,"accessories, Afghanistan, poppy red, Saleh Fine Silks, scarves, silk",TRUE,Title,Default Title,,,,,a3320402af,400,shopify,17,deny,manual,49,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/13038FAW_PRO_ScarfD_069.jpeg?v=1419279596,,FALSE,,"Pure Silk Scarf in Poppy Red, exquisitely soft to touch and very lightweight. It is perfect for travelling and can dress up an outfit for any occasion.",,,,,,,,,,,,,,,kg
poppy-red-silk-scarf-afghanistan,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/13039FAW_PRO_SQ_Scarf4_110.jpeg?v=1419279596,,,,,,,,,,,,,,,,,,,
